City,Hotel Name,Country,Max Temp,Current Description,Lat,Lng
Limbang,Purnama Hotel,MY,75.31,moderate rain,4.75,115.0
Guerrero Negro,"Casa Laguna, Bed & Breakfast",MX,75.6,clear sky,27.9769,-114.0611
Tura,Hotel RIKMAN Continental,IN,69.57,clear sky,25.5198,90.2201
Lorengau,Lorengau Harbourside Hotel,PG,80.01,overcast clouds,-2.0226,147.2712
Faanui,Bora-Bora Pearl Beach Resort & Spa,PF,78.8,light rain,-16.4833,-151.75
Tonantins,Hotel Hortensias,BR,84.25,overcast clouds,-2.8731,-67.8022
Labuhan,DoubleFAG,ID,79.21,light rain,-6.8844,112.2051
Bubaque,"Casa Dora, Bubaque",GW,81.07,broken clouds,11.2833,-15.8333
Demba,Guest House Du Cinquantenaire,CD,70.39,light rain,-5.51,22.2667
Saint George,Best Western Plus Abbey Inn,US,73.94,clear sky,37.1041,-113.5841
Dickinson,Hampton Inn & Suites Houston/League City,US,72.03,broken clouds,29.4608,-95.0513
Ancud,Hotel Arena Gruesa,CL,77.23,clear sky,-41.8697,-73.8203
Tabas,شرکت معماری مهراز شایگان آراد,IR,78.03,few clouds,33.5959,56.9244
Asosa,Blendana Hotel Assosa,ET,60.01,light rain,10.0667,34.5333
Moyale,La Tahzan Guest House,KE,73.62,overcast clouds,3.5167,39.0584
San Ramon,San Ramon Marriott,US,67.77,clear sky,37.7799,-121.978
Xai-Xai,Complexo da Familia,MZ,73.54,overcast clouds,-25.0519,33.6442
Mantua,Hotel la Favorita,IT,67.15,few clouds,45.1667,10.7833
Winslow,Best Western Plus Winslow Inn,US,61.43,scattered clouds,35.0242,-110.6974
Port Hedland,The Esplanade Hotel,AU,68.05,clear sky,-20.3167,118.5667
East London,Tu Casa,ZA,68.94,few clouds,-33.0153,27.9116
Challans,Citotel Le Challans,FR,64.6,overcast clouds,46.8436,-1.8749
Pasighat,Siang Guest House,IN,69.98,clear sky,28.0667,95.3333
Koumac,Le Monitel,NC,71.91,scattered clouds,-20.5667,164.2833
Dwarka,Hotel Narayan Avezika Comfort,IN,83.23,clear sky,22.2394,68.9678
Buraydah,Mövenpick Qassim,SA,82.85,clear sky,26.326,43.975
